title,description,regular_cost_ex_gst,regular_cost_plus_gst,markdown_cost_ex_gst,markdown_cost_plus_gst,markdown_percent,stock_availability,product_page_url,primary_image_url,additional_image_urls,source_table_page,checked_at_utc,scrape_status
X4 Euro Brace upgrade kit,Euro bracing upgrade kit for X4 – does not include the rear mounts,25.88,28.47,22.00,24.20,14.99,,https://daluawholesale.com.au/product/x4-euro-brace-upgrade-kit/,https://daluawholesale.com.au/wp-content/uploads/2026/04/X4_Euro_Brace.jpg,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.431921+00:00,ok
FREE FLORABEDS,"FREE 2 FLORABEDS Buy any River Kits, and get 2 Plant Growth Florabeds FOR FREE! Pick any Florabeds, if none is chosen, we will allocate them.",1.00,1.10,0.99,1.09,1.00,,https://daluawholesale.com.au/product/free-florabed/,https://daluawholesale.com.au/wp-content/uploads/2026/04/WIO.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.432083+00:00,ok
Breeders Box 60g,Breeders Box 60g pack,30.78,33.86,23.12,25.43,24.89,,https://daluawholesale.com.au/product/breeders-box/,https://daluawholesale.com.au/wp-content/uploads/2026/04/Breeders_Box_.jpg,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.432304+00:00,ok
Breeders Bits 30g,Breeders Bits 30g Pack,16.94,18.63,12.55,13.81,25.91,,https://daluawholesale.com.au/product/breeders-bits/,https://daluawholesale.com.au/wp-content/uploads/2026/04/Breeders_bits.jpg,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.432513+00:00,ok
Breeders Aid 30g,Breeders Aid 30g Pack,16.94,18.63,12.55,13.81,25.91,,https://daluawholesale.com.au/product/breeders-aid-30g/,https://daluawholesale.com.au/wp-content/uploads/2026/04/Breeders_Aids.jpg,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.432731+00:00,ok
Dalua Fresh Shrimp Catcher (L),Dalua Fresh Shrimp Catcher (L),13.94,15.33,10.45,11.50,25.04,,https://daluawholesale.com.au/product/dalua-fresh-shrimp-catcher-l/,https://daluawholesale.com.au/wp-content/uploads/2026/03/image_2026-03-25_225617133.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.432904+00:00,ok
Dalua Fresh Shrimp Catcher (S),Dalua Fresh Shrimp Catcher (S),12.11,13.32,9.08,9.99,25.02,,https://daluawholesale.com.au/product/shrimp-catcher-s/,https://daluawholesale.com.au/wp-content/uploads/2026/03/image_2026-03-25_225617133.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.433061+00:00,ok
CORAL ESSENTIALS GRO READY 2.75L,Now dose your vitamins for marine aquariums in a 2.75L bottle,69.62,76.58,46.99,51.69,32.51,,https://daluawholesale.com.au/product/coral-essentials-gro-ready-2-75l/,https://daluawholesale.com.au/wp-content/uploads/2026/03/image_2026-03-23_181552204.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.433186+00:00,ok
CORAL ESSENTIALS AMINO READY 2.75L,Now dose your amino acids for marine aquariums in a 2.75L bottle,69.62,76.58,46.99,51.69,32.51,,https://daluawholesale.com.au/product/coral-essentials-amino-ready-2-75l/,https://daluawholesale.com.au/wp-content/uploads/2026/03/image_2026-03-23_181230009.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.433308+00:00,ok
FREE Reef Magazine,FREE REEF MAGAZINE! For every $1000 get 100 free copies of the reef magazine!,1.00,1.10,0.99,1.09,1.00,,https://daluawholesale.com.au/product/free-reef-magazine/,https://daluawholesale.com.au/wp-content/uploads/2026/03/image_2026-03-09_113050880.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.433473+00:00,ok
