classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note,qualification,qualification_reason,proposed_variant_family,variant_group_size
missing,0.478,WIO Midnight Veil Riverbed 1.5kg,24.24,26.66,18.18,20.00,https://daluawholesale.com.au/product/wio-midnight-veil-riverbed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_ee4d980ea8d045cfa1947c3302052cfbmv2-1.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio midnight veil riverbed,2
missing,0.548,WIO Black Allure Riverbed 5kg,46.64,51.30,34.98,38.48,https://daluawholesale.com.au/product/wio-black-allure-riverbed-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_f84a4f2da98e4f05b14d74f24d54f4b5mv2.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio allure riverbed,2
missing,0.538,WIO Jade Bliss River Bed 5kg,46.64,51.30,34.98,38.48,https://daluawholesale.com.au/product/wio-jade-bliss-river-bed-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_f84a4f2da98e4f05b14d74f24d54f4b5mv2.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio jade bliss river bed,2
missing,0.595,Drift Wood Large,31.54,34.69,25.23,27.75,https://daluawholesale.com.au/product/drift-wood-large-2/,https://daluawholesale.com.au/wp-content/uploads/2025/08/dalua-dragon-wood-6.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,drift wood,2
missing,0.579,Drift Wood Medium,12.46,13.71,9.97,10.97,https://daluawholesale.com.au/product/drift-wood-large/,https://daluawholesale.com.au/wp-content/uploads/2025/08/dalua-dragon-wood-7.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,drift wood,2
missing,0.500,WIO Powervol 5kg,28.71,31.58,21.53,23.68,https://daluawholesale.com.au/product/wio-powervol-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_953a2ce7437543de9a22aafc8fda3137mv2.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio powervol,2
missing,0.550,WIO Powervol 2kg,14.01,15.41,10.51,11.56,https://daluawholesale.com.au/product/wio-powervol-2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_953a2ce7437543de9a22aafc8fda3137mv2.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio powervol,2
missing,0.500,WIO Dark Artist Florabed 1.5kg,18.17,19.99,13.63,14.99,https://daluawholesale.com.au/product/wio-dark-artist-florabed-set-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_3ca0b6f165f54263b697ea61ba1ffcbdmv2.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio dark artist florabed,2
missing,0.515,WIO Terra Artist Florabed *Fine* 3kg,36.63,40.29,27.47,30.22,https://daluawholesale.com.au/product/wio-terra-artist-florabed-fine-3kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/terra-fine-soil.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio terra artist florabed fine,2
missing,0.480,WIO Dark Artist Florabed 3kg,33.31,36.64,24.98,27.48,https://daluawholesale.com.au/product/wio-dark-artist-wetland-6-2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_3ca0b6f165f54263b697ea61ba1ffcbdmv2.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio dark artist florabed,2
missing,0.480,WIO Terra Artist Florabed 3kg,33.31,36.64,24.98,27.48,https://daluawholesale.com.au/product/wio-terra-artist-florabed-3kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_e3b5640610df4d22a1140bb3ed857778mv2.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio terra artist florabed,2
missing,0.522,WIO Terra Artist Florabed *Fine* 1.5kg,19.99,21.99,14.99,16.49,https://daluawholesale.com.au/product/wio-terra-artist-florabed-fine-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/terra-fine-soil.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio terra artist florabed fine,2
missing,0.507,WIO Terra Artist Florabed 1.5kg,18.17,19.99,13.63,14.99,https://daluawholesale.com.au/product/wio-terra-artist-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_e3b5640610df4d22a1140bb3ed857778mv2.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio terra artist florabed,2
missing,0.516,WIO Black Allure Riverbed 2kg,24.24,26.66,18.18,20.00,https://daluawholesale.com.au/product/wio-black-allure-riverbed-2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_f84a4f2da98e4f05b14d74f24d54f4b5mv2.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio allure riverbed,2
missing,0.492,WIO Midnight Veil Riverbed 3kg,46.64,51.30,34.98,38.48,https://daluawholesale.com.au/product/wio-midnight-veil-riverbed-3kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_ee4d980ea8d045cfa1947c3302052cfbmv2-1.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio midnight veil riverbed,2
missing,0.490,WIO Red Dusk Riverbed 3kg,46.64,51.30,34.98,38.48,https://daluawholesale.com.au/product/wio-red-dusk-riverbed-3kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_6556c9e0198148c595a4dc658eb5513cmv2.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio dusk riverbed,2
missing,0.500,WIO Golden Hour Riverbed 5kg,46.64,51.30,34.98,38.48,https://daluawholesale.com.au/product/wio-golden-hour-riverbed-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/wio_riverbeds_elderly_detail.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio golden hour riverbed,2
