classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note
exclude,0.000,MARCO ROCK PRICE MATCH,1.00,1.10,0.99,1.09,https://daluawholesale.com.au/product/marco-rock-price-match/,https://daluawholesale.com.au/wp-content/uploads/2026/05/MARCO.png,,,,supplier promotion/free item,
exclude,0.000,FREE FLORABEDS,1.00,1.10,0.99,1.09,https://daluawholesale.com.au/product/free-florabed/,https://daluawholesale.com.au/wp-content/uploads/2026/04/WIO.png,,,,supplier promotion/free item,
exclude,0.000,FREE Reef Magazine,1.00,1.10,0.99,1.09,https://daluawholesale.com.au/product/free-reef-magazine/,https://daluawholesale.com.au/wp-content/uploads/2026/03/image_2026-03-09_113050880.png,,,,supplier promotion/free item,
exclude,0.000,FREE SHIPPING with WIO River Kits,1.00,1.10,0.99,1.09,https://daluawholesale.com.au/product/free-shipping-with-wio-river-kits/,https://daluawholesale.com.au/wp-content/uploads/2026/03/7b3f4692-c1a9-8231-bd70-620759719f4e.png,,,,supplier promotion/free item,
exclude,0.000,DALUA FREE NEW BANNER!!!,1.00,1.10,0.99,1.09,https://daluawholesale.com.au/product/dalua-free-new-banner/,https://daluawholesale.com.au/wp-content/uploads/2025/12/image_2025-12-22_104607950.png,,,,supplier promotion/free item,
exclude,0.000,TINI LED ** Plus FREE Ferts **,1.00,1.10,0.99,1.09,https://daluawholesale.com.au/product/tini-led-plus-free-ferts/,https://daluawholesale.com.au/wp-content/uploads/2025/11/ferts.png,,,,supplier promotion/free item,
