family,source_rows,proposed_product_title,options_json,status
quick release,2,Quick Release,"[{""source_title"":""Quick Release (16/22mm)"",""proposed_option"":""22mm / 16/22mm"",""cost_plus_gst"":""25.92"",""markdown_plus_gst"":""19.93"",""source_url"":""https://daluawholesale.com.au/product/quick-release-16-22mm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/03/quick-release-1.png""},{""source_title"":""Quick Release (12/16mm)"",""proposed_option"":""16mm / 12/16mm"",""cost_plus_gst"":""25.92"",""markdown_plus_gst"":""19.93"",""source_url"":""https://daluawholesale.com.au/product/quick-release-12-16mm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/03/quick-release-1.png""}]",review_before_shopify_write
rail mounting system,3,Rail Mounting System,"[{""source_title"":""RAIL MOUNTING SYSTEM .90CM"",""proposed_option"":""90CM"",""cost_plus_gst"":""161.05"",""markdown_plus_gst"":""134.21"",""source_url"":""https://daluawholesale.com.au/product/rail-mounting-system-90cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/09/rms-complete.jpg""},{""source_title"":""RAIL MOUNTING SYSTEM .60CM"",""proposed_option"":""60CM"",""cost_plus_gst"":""147.85"",""markdown_plus_gst"":""123.21"",""source_url"":""https://daluawholesale.com.au/product/rail-mounting-system-60cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/09/rms-complete.jpg""},{""source_title"":""RAIL MOUNTING SYSTEM .45CM"",""proposed_option"":""45CM"",""cost_plus_gst"":""132.01"",""markdown_plus_gst"":""110.01"",""source_url"":""https://daluawholesale.com.au/product/rail-mounting-system-45cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/09/rms-complete.jpg""}]",review_before_shopify_write
rail only,5,Rail Only,"[{""source_title"":""RAIL ONLY 180CM"",""proposed_option"":""180CM"",""cost_plus_gst"":""117.27"",""markdown_plus_gst"":""97.72"",""source_url"":""https://daluawholesale.com.au/product/rail-only-180cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg""},{""source_title"":""RAIL ONLY 150CM"",""proposed_option"":""150CM"",""cost_plus_gst"":""104.07"",""markdown_plus_gst"":""86.72"",""source_url"":""https://daluawholesale.com.au/product/rail-only-150cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg""},{""source_title"":""RAIL ONLY 120CM"",""proposed_option"":""120CM"",""cost_plus_gst"":""91.80"",""markdown_plus_gst"":""76.49"",""source_url"":""https://daluawholesale.com.au/product/rail-only-120cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg""},{""source_title"":""RAIL ONLY .90CM"",""proposed_option"":""90CM"",""cost_plus_gst"":""85.07"",""markdown_plus_gst"":""70.90"",""source_url"":""https://daluawholesale.com.au/product/rail-only-90cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg""},{""source_title"":""RAIL ONLY .60CM"",""proposed_option"":""60CM"",""cost_plus_gst"":""71.87"",""markdown_plus_gst"":""59.90"",""source_url"":""https://daluawholesale.com.au/product/rail-only-60cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg""}]",review_before_shopify_write
shrimp aid by sas,3,Shrimp Aid By Sas,"[{""source_title"":""Shrimp Aid 50g by SAS"",""proposed_option"":""50g"",""cost_plus_gst"":""15.08"",""markdown_plus_gst"":""12.07"",""source_url"":""https://daluawholesale.com.au/product/shrimp-aid-50g-by-sas/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/309076784_1086703358484265_8585647156634237688_n.jpg""},{""source_title"":""Shrimp Aid 25g by SAS"",""proposed_option"":""25g"",""cost_plus_gst"":""9.08"",""markdown_plus_gst"":""7.01"",""source_url"":""https://daluawholesale.com.au/product/shrimp-aid-25g-by-sas/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/309076784_1086703358484265_8585647156634237688_n.jpg""},{""source_title"":""Shrimp Aid 15g by SAS"",""proposed_option"":""15g"",""cost_plus_gst"":""6.19"",""markdown_plus_gst"":""4.79"",""source_url"":""https://daluawholesale.com.au/product/shrimp-aid-15g-by-sas/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/309076784_1086703358484265_8585647156634237688_n.jpg""}]",review_before_shopify_write
shrimpy bits by sas,3,Shrimpy Bits By Sas,"[{""source_title"":""Shrimpy Bits 50g by SAS"",""proposed_option"":""50g"",""cost_plus_gst"":""15.08"",""markdown_plus_gst"":""12.07"",""source_url"":""https://daluawholesale.com.au/product/shrimpy-bits-50g-by-sas/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/299129320_2016423121885001_4972031726711310455_n.jpg""},{""source_title"":""Shrimpy Bits 25g by SAS"",""proposed_option"":""25g"",""cost_plus_gst"":""9.08"",""markdown_plus_gst"":""7.01"",""source_url"":""https://daluawholesale.com.au/product/shrimpy-bits-25g-by-sas/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/299129320_2016423121885001_4972031726711310455_n.jpg""},{""source_title"":""Shrimpy Bits 15g by SAS"",""proposed_option"":""15g"",""cost_plus_gst"":""6.19"",""markdown_plus_gst"":""4.79"",""source_url"":""https://daluawholesale.com.au/product/shrimpy-bits15g-by-sas/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/299129320_2016423121885001_4972031726711310455_n.jpg""}]",review_before_shopify_write
tiger forest wood per piece,3,Tiger Forest Wood Per Piece,"[{""source_title"":""Tiger Forest Wood Large per piece"",""proposed_option"":""Large"",""cost_plus_gst"":""27.83"",""markdown_plus_gst"":""21.41"",""source_url"":""https://daluawholesale.com.au/product/tiger-forest-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-47.png""},{""source_title"":""Tiger Forest Wood Medium per piece"",""proposed_option"":""Medium"",""cost_plus_gst"":""14.26"",""markdown_plus_gst"":""10.97"",""source_url"":""https://daluawholesale.com.au/product/tiger-forest-medium-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-47.png""},{""source_title"":""Tiger Forest Wood Small per piece"",""proposed_option"":""Small"",""cost_plus_gst"":""7.40"",""markdown_plus_gst"":""5.92"",""source_url"":""https://daluawholesale.com.au/product/tiger-forest-small-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-47.png""}]",review_before_shopify_write
tiger forest wood x per piece,2,Tiger Forest Wood X Per Piece,"[{""source_title"":""Tiger Forest Wood X-Large per piece"",""proposed_option"":""Large"",""cost_plus_gst"":""56.65"",""markdown_plus_gst"":""43.60"",""source_url"":""https://daluawholesale.com.au/product/tiger-forest-x-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-47.png""},{""source_title"":""Tiger Forest Wood X-Small per piece"",""proposed_option"":""Small"",""cost_plus_gst"":""4.74"",""markdown_plus_gst"":""3.80"",""source_url"":""https://daluawholesale.com.au/product/tiger-forest-x-small-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-47.png""}]",review_before_shopify_write
water softener fx,2,Water Softener Fx,"[{""source_title"":""WATER SOFTENER FX 250mL"",""proposed_option"":""250mL"",""cost_plus_gst"":""30.59"",""markdown_plus_gst"":""24.48"",""source_url"":""https://daluawholesale.com.au/product/water-softener-fx-250ml/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/soft_web_800x.jpg""},{""source_title"":""WATER SOFTENER FX 500mL"",""proposed_option"":""500mL"",""cost_plus_gst"":""44.69"",""markdown_plus_gst"":""35.75"",""source_url"":""https://daluawholesale.com.au/product/water-softener-fx-500ml/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/soft_web_800x.jpg""}]",review_before_shopify_write
wio allure riverbed,2,Wio Allure Riverbed,"[{""source_title"":""WIO Black Allure Riverbed 5kg"",""proposed_option"":""5kg / Black"",""cost_plus_gst"":""51.30"",""markdown_plus_gst"":""38.48"",""source_url"":""https://daluawholesale.com.au/product/wio-black-allure-riverbed-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_f84a4f2da98e4f05b14d74f24d54f4b5mv2.webp""},{""source_title"":""WIO Black Allure Riverbed 2kg"",""proposed_option"":""2kg / Black"",""cost_plus_gst"":""26.66"",""markdown_plus_gst"":""20.00"",""source_url"":""https://daluawholesale.com.au/product/wio-black-allure-riverbed-2kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_f84a4f2da98e4f05b14d74f24d54f4b5mv2.webp""}]",review_before_shopify_write
wio dark artist florabed,2,Wio Dark Artist Florabed,"[{""source_title"":""WIO Dark Artist Florabed 1.5kg"",""proposed_option"":""1.5kg"",""cost_plus_gst"":""19.99"",""markdown_plus_gst"":""14.99"",""source_url"":""https://daluawholesale.com.au/product/wio-dark-artist-florabed-set-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_3ca0b6f165f54263b697ea61ba1ffcbdmv2.webp""},{""source_title"":""WIO Dark Artist Florabed 3kg"",""proposed_option"":""3kg"",""cost_plus_gst"":""36.64"",""markdown_plus_gst"":""27.48"",""source_url"":""https://daluawholesale.com.au/product/wio-dark-artist-wetland-6-2kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_3ca0b6f165f54263b697ea61ba1ffcbdmv2.webp""}]",review_before_shopify_write
