family,source_rows,proposed_product_title,options_json,status
e marco cement bucket,2,E Marco Cement Bucket,"[{""source_title"":""E-Marco Cement 2.2kg Bucket (Purple)"",""proposed_option"":""2.2kg / Purple"",""cost_plus_gst"":""21.85"",""markdown_plus_gst"":""18.21"",""source_url"":""https://daluawholesale.com.au/product/e-marco-cement-2-2kg-bucket-purple/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/cem_600x.jpg""},{""source_title"":""E-Marco Cement 2.2kg Bucket (GREY)"",""proposed_option"":""2.2kg / GREY"",""cost_plus_gst"":""21.85"",""markdown_plus_gst"":""18.21"",""source_url"":""https://daluawholesale.com.au/product/e-marco-cement-2-2kg-bucket/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/cem_600x.jpg""}]",hold_non_freshwater_or_ambiguous
rail mounting system,3,Rail Mounting System,"[{""source_title"":""RAIL MOUNTING SYSTEM .90CM"",""proposed_option"":""90CM"",""cost_plus_gst"":""161.05"",""markdown_plus_gst"":""134.21"",""source_url"":""https://daluawholesale.com.au/product/rail-mounting-system-90cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/09/rms-complete.jpg""},{""source_title"":""RAIL MOUNTING SYSTEM .60CM"",""proposed_option"":""60CM"",""cost_plus_gst"":""147.85"",""markdown_plus_gst"":""123.21"",""source_url"":""https://daluawholesale.com.au/product/rail-mounting-system-60cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/09/rms-complete.jpg""},{""source_title"":""RAIL MOUNTING SYSTEM .45CM"",""proposed_option"":""45CM"",""cost_plus_gst"":""132.01"",""markdown_plus_gst"":""110.01"",""source_url"":""https://daluawholesale.com.au/product/rail-mounting-system-45cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/09/rms-complete.jpg""}]",hold_non_freshwater_or_ambiguous
rail only,5,Rail Only,"[{""source_title"":""RAIL ONLY 180CM"",""proposed_option"":""180CM"",""cost_plus_gst"":""117.27"",""markdown_plus_gst"":""97.72"",""source_url"":""https://daluawholesale.com.au/product/rail-only-180cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg""},{""source_title"":""RAIL ONLY 150CM"",""proposed_option"":""150CM"",""cost_plus_gst"":""104.07"",""markdown_plus_gst"":""86.72"",""source_url"":""https://daluawholesale.com.au/product/rail-only-150cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg""},{""source_title"":""RAIL ONLY 120CM"",""proposed_option"":""120CM"",""cost_plus_gst"":""91.80"",""markdown_plus_gst"":""76.49"",""source_url"":""https://daluawholesale.com.au/product/rail-only-120cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg""},{""source_title"":""RAIL ONLY .90CM"",""proposed_option"":""90CM"",""cost_plus_gst"":""85.07"",""markdown_plus_gst"":""70.90"",""source_url"":""https://daluawholesale.com.au/product/rail-only-90cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg""},{""source_title"":""RAIL ONLY .60CM"",""proposed_option"":""60CM"",""cost_plus_gst"":""71.87"",""markdown_plus_gst"":""59.90"",""source_url"":""https://daluawholesale.com.au/product/rail-only-60cm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2023/01/rails.jpg""}]",hold_non_freshwater_or_ambiguous
